15:12:46.311	127.0.0.1:58391	admin	OK	CLOSE[27]	0.07 ms	
15:12:46.311	127.0.0.1:58391	admin	OK	QUERY[28] doc("pistes/pistes.xml")/pistes/pista[@id="PS-015"]	0.08 ms	
15:12:46.342	127.0.0.1:58391	admin	OK	FULL[28]	31.38 ms	
15:12:46.343	127.0.0.1:58391	admin	OK	CLOSE[28]	0.11 ms	
15:12:46.343	127.0.0.1:58391	admin	OK	QUERY[29] insert node <pista id="PS-015"><nom>Wild Wolf</nom><color>Vermella</color><oberta>true</oberta><longitud>3700</longitud><desnivell>620</desnivell><pendentMax>32</pendentMax><gruix>72</gruix><qualitat>Dura</qualitat><remuntadors><remuntador>Telesquí Sud</remuntador></remuntadors></pista> into doc("pistes/pistes.xml")/pistes	0.12 ms	
15:12:46.350	127.0.0.1:58391	admin	OK	FULL[29]	5.82 ms	
15:12:46.350	127.0.0.1:58391	admin	OK	CLOSE[29]	0.06 ms	
15:12:46.351	127.0.0.1:58391	admin	OK	QUERY[30] doc("pistes/pistes.xml")/pistes/pista[@id="PS-016"]	0.21 ms	
15:12:46.379	127.0.0.1:58391	admin	OK	FULL[30]	28.77 ms	
15:12:46.380	127.0.0.1:58391	admin	OK	CLOSE[30]	0.09 ms	
15:12:46.381	127.0.0.1:58391	admin	OK	QUERY[31] insert node <pista id="PS-016"><nom>Death Wish</nom><color>Negra</color><oberta>true</oberta><longitud>5200</longitud><desnivell>950</desnivell><pendentMax>48</pendentMax><gruix>115</gruix><qualitat>Glacial</qualitat><remuntadors><remuntador>Telefèric Cim</remuntador></remuntadors></pista> into doc("pistes/pistes.xml")/pistes	0.11 ms	
15:12:46.386	127.0.0.1:58391	admin	OK	FULL[31]	5.21 ms	
15:12:46.387	127.0.0.1:58391	admin	OK	CLOSE[31]	0.09 ms	
15:12:46.387	127.0.0.1:58391	admin	OK	QUERY[32] doc("pistes/pistes.xml")/pistes/pista[@id="PS-017"]	0.06 ms	
15:12:46.410	127.0.0.1:58391	admin	OK	FULL[32]	22.66 ms	
15:12:46.411	127.0.0.1:58391	admin	OK	CLOSE[32]	0.06 ms	
15:12:46.411	127.0.0.1:58391	admin	OK	QUERY[33] insert node <pista id="PS-017"><nom>Butterfly Slope</nom><color>Verda</color><oberta>false</oberta><longitud>1550</longitud><desnivell>210</desnivell><pendentMax>10</pendentMax><gruix>31</gruix><qualitat>Polsosa</qualitat><remuntadors><remuntador>Telecadira Central</remuntador></remuntadors></pista> into doc("pistes/pistes.xml")/pistes	0.07 ms	
15:12:46.416	127.0.0.1:58391	admin	OK	FULL[33]	4.69 ms	
15:12:46.417	127.0.0.1:58391	admin	OK	CLOSE[33]	0.08 ms	
15:12:46.417	127.0.0.1:58391	admin	OK	QUERY[34] doc("pistes/pistes.xml")/pistes/pista[@id="PS-018"]	0.08 ms	
15:12:46.445	127.0.0.1:58391	admin	OK	FULL[34]	28.28 ms	
15:12:46.446	127.0.0.1:58391	admin	OK	CLOSE[34]	0.07 ms	
15:12:46.446	127.0.0.1:58391	admin	OK	QUERY[35] insert node <pista id="PS-018"><nom>Azure Dream</nom><color>Blava</color><oberta>true</oberta><longitud>2400</longitud><desnivell>390</desnivell><pendentMax>19</pendentMax><gruix>48</gruix><qualitat>Humida</qualitat><remuntadors><remuntador>Telecabina Nord</remuntador></remuntadors></pista> into doc("pistes/pistes.xml")/pistes	0.09 ms	
15:12:46.452	127.0.0.1:58391	admin	OK	FULL[35]	5.85 ms	
15:12:46.453	127.0.0.1:58391	admin	OK	CLOSE[35]	0.08 ms	
15:12:46.453	127.0.0.1:58391	admin	OK	QUERY[36] doc("pistes/pistes.xml")/pistes/pista[@id="PS-019"]	0.1 ms	
15:12:46.481	127.0.0.1:58391	admin	OK	FULL[36]	28.02 ms	
15:12:46.482	127.0.0.1:58391	admin	OK	CLOSE[36]	0.07 ms	
15:12:46.482	127.0.0.1:58391	admin	OK	QUERY[37] insert node <pista id="PS-019"><nom>Crimson Canyon</nom><color>Vermella</color><oberta>false</oberta><longitud>3600</longitud><desnivell>630</desnivell><pendentMax>33</pendentMax><gruix>73</gruix><qualitat>Dura</qualitat><remuntadors><remuntador>Telesquí Sud</remuntador><remuntador>Telecadira Central</remuntador></remuntadors></pista> into doc("pistes/pistes.xml")/pistes	0.1 ms	
15:12:46.486	127.0.0.1:58391	admin	OK	FULL[37]	4.31 ms	
15:12:46.487	127.0.0.1:58391	admin	OK	CLOSE[37]	0.07 ms	
15:12:46.487	127.0.0.1:58391	admin	OK	QUERY[38] doc("pistes/pistes.xml")/pistes/pista[@id="PS-020"]	0.06 ms	
15:12:46.510	127.0.0.1:58391	admin	OK	FULL[38]	23.27 ms	
15:12:46.511	127.0.0.1:58391	admin	OK	CLOSE[38]	0.07 ms	
15:12:46.511	127.0.0.1:58391	admin	OK	QUERY[39] insert node <pista id="PS-020"><nom>Extreme Edge</nom><color>Negra</color><oberta>true</oberta><longitud>4700</longitud><desnivell>820</desnivell><pendentMax>41</pendentMax><gruix>102</gruix><qualitat>Glacial</qualitat><remuntadors><remuntador>Telefèric Cim</remuntador></remuntadors></pista> into doc("pistes/pistes.xml")/pistes	0.1 ms	
15:12:46.517	127.0.0.1:58391	admin	OK	FULL[39]	4.39 ms	
15:12:46.519	127.0.0.1:58391	admin	OK	CLOSE[39]	0.07 ms	
15:12:46.519	127.0.0.1:58391	admin	OK	QUERY[40] doc("pistes/pistes.xml")/pistes/pista[@id="PS-001"]	0.06 ms	
15:12:46.549	127.0.0.1:58391	admin	OK	FULL[40]	30.06 ms	
15:12:46.567	127.0.0.1:58391	admin	OK	CLOSE[40]	0.16 ms	
15:12:46.568	127.0.0.1:58391	admin	OK	QUERY[41] doc("pistes/pistes.xml")/pistes/pista[@id="PS-002"]	0.09 ms	
15:12:46.571	127.0.0.1:58391	admin	OK	FULL[41]	3.12 ms	
15:12:46.572	127.0.0.1:58391	admin	OK	CLOSE[41]	0.07 ms	
15:12:46.572	127.0.0.1:58391	admin	OK	QUERY[42] doc("pistes/pistes.xml")/pistes/pista[@id="PS-003"]	0.07 ms	
15:12:46.575	127.0.0.1:58391	admin	OK	FULL[42]	2.75 ms	
15:12:46.576	127.0.0.1:58391	admin	OK	CLOSE[42]	0.07 ms	
15:12:46.576	127.0.0.1:58391	admin	OK	QUERY[43] doc("pistes/pistes.xml")/pistes/pista[@id="PS-004"]	0.06 ms	
15:12:46.579	127.0.0.1:58391	admin	OK	FULL[43]	2.55 ms	
15:12:46.579	127.0.0.1:58391	admin	OK	CLOSE[43]	0.05 ms	
15:12:46.579	127.0.0.1:58391	admin	OK	QUERY[44] doc("pistes/pistes.xml")/pistes/pista[@id="PS-005"]	0.05 ms	
15:12:46.582	127.0.0.1:58391	admin	OK	FULL[44]	2.36 ms	
15:12:46.583	127.0.0.1:58391	admin	OK	CLOSE[44]	0.08 ms	
15:12:46.583	127.0.0.1:58391	admin	OK	QUERY[45] doc("pistes/pistes.xml")/pistes/pista[@id="PS-006"]	0.07 ms	
15:12:46.585	127.0.0.1:58391	admin	OK	FULL[45]	2.62 ms	
15:12:46.586	127.0.0.1:58391	admin	OK	CLOSE[45]	0.09 ms	
15:12:46.587	127.0.0.1:58391	admin	OK	QUERY[46] doc("pistes/pistes.xml")/pistes/pista[@id="PS-007"]	0.07 ms	
15:12:46.590	127.0.0.1:58391	admin	OK	FULL[46]	2.98 ms	
15:12:46.591	127.0.0.1:58391	admin	OK	CLOSE[46]	0.07 ms	
15:12:46.591	127.0.0.1:58391	admin	OK	QUERY[47] doc("pistes/pistes.xml")/pistes/pista[@id="PS-008"]	0.07 ms	
15:12:46.594	127.0.0.1:58391	admin	OK	FULL[47]	3.05 ms	
15:12:46.595	127.0.0.1:58391	admin	OK	CLOSE[47]	0.06 ms	
15:12:46.595	127.0.0.1:58391	admin	OK	QUERY[48] doc("pistes/pistes.xml")/pistes/pista[@id="PS-009"]	0.08 ms	
15:12:46.598	127.0.0.1:58391	admin	OK	FULL[48]	2.54 ms	
15:12:46.599	127.0.0.1:58391	admin	OK	CLOSE[48]	0.1 ms	
15:12:46.599	127.0.0.1:58391	admin	OK	QUERY[49] doc("pistes/pistes.xml")/pistes/pista[@id="PS-010"]	0.08 ms	
15:12:46.602	127.0.0.1:58391	admin	OK	FULL[49]	2.84 ms	
15:12:46.603	127.0.0.1:58391	admin	OK	CLOSE[49]	0.05 ms	
15:12:46.603	127.0.0.1:58391	admin	OK	QUERY[50] doc("pistes/pistes.xml")/pistes/pista[@id="PS-011"]	0.05 ms	
15:12:46.606	127.0.0.1:58391	admin	OK	FULL[50]	2.48 ms	
15:12:46.607	127.0.0.1:58391	admin	OK	CLOSE[50]	0.07 ms	
15:12:46.607	127.0.0.1:58391	admin	OK	QUERY[51] doc("pistes/pistes.xml")/pistes/pista[@id="PS-012"]	0.06 ms	
15:12:46.609	127.0.0.1:58391	admin	OK	FULL[51]	2.1 ms	
15:12:46.609	127.0.0.1:58391	admin	OK	CLOSE[51]	0.06 ms	
15:12:46.610	127.0.0.1:58391	admin	OK	QUERY[52] doc("pistes/pistes.xml")/pistes/pista[@id="PS-013"]	0.06 ms	
15:12:46.612	127.0.0.1:58391	admin	OK	FULL[52]	2.21 ms	
15:12:46.613	127.0.0.1:58391	admin	OK	CLOSE[52]	0.07 ms	
15:12:46.613	127.0.0.1:58391	admin	OK	QUERY[53] doc("pistes/pistes.xml")/pistes/pista[@id="PS-014"]	0.07 ms	
15:12:46.616	127.0.0.1:58391	admin	OK	FULL[53]	2.81 ms	
15:12:46.617	127.0.0.1:58391	admin	OK	CLOSE[53]	0.06 ms	
15:12:46.617	127.0.0.1:58391	admin	OK	QUERY[54] doc("pistes/pistes.xml")/pistes/pista[@id="PS-015"]	0.06 ms	
15:12:46.619	127.0.0.1:58391	admin	OK	FULL[54]	2.56 ms	
15:12:46.620	127.0.0.1:58391	admin	OK	CLOSE[54]	0.06 ms	
15:12:46.620	127.0.0.1:58391	admin	OK	QUERY[55] doc("pistes/pistes.xml")/pistes/pista[@id="PS-016"]	0.09 ms	
15:12:46.622	127.0.0.1:58391	admin	OK	FULL[55]	2.08 ms	
15:12:46.623	127.0.0.1:58391	admin	OK	CLOSE[55]	0.05 ms	
15:12:46.623	127.0.0.1:58391	admin	OK	QUERY[56] doc("pistes/pistes.xml")/pistes/pista[@id="PS-017"]	0.06 ms	
15:12:46.626	127.0.0.1:58391	admin	OK	FULL[56]	2.46 ms	
15:12:46.627	127.0.0.1:58391	admin	OK	CLOSE[56]	0.07 ms	
15:12:46.627	127.0.0.1:58391	admin	OK	QUERY[57] doc("pistes/pistes.xml")/pistes/pista[@id="PS-018"]	0.06 ms	
15:12:46.629	127.0.0.1:58391	admin	OK	FULL[57]	2.16 ms	
15:12:46.630	127.0.0.1:58391	admin	OK	CLOSE[57]	0.05 ms	
